size, procs, ordered_mean, static_mean
5000,1,2.023293,0.407374
5000,2,1.783992,0.417301
5000,3,1.527738,0.653526
5000,4,1.466092,0.661373
10000,1,5.624248,0.471991
10000,2,6.864869,0.486284
10000,3,5.673093,1.084840
10000,4,5.008059,1.282618
15000,1,9.137197,0.571473
15000,2,11.617064,0.562491
15000,3,11.205365,1.810888
15000,4,10.603444,2.453257
20000,1,13.962431,0.713665
20000,2,16.533476,0.659894
20000,3,16.626104,2.978452
20000,4,16.427027,3.972139
25000,1,20.134155,0.927397
25000,2,22.735341,0.794655
25000,3,22.912495,6.312173
25000,4,22.723231,6.136098
30000,1,27.648208,1.119560
30000,2,30.287141,0.995430
30000,3,30.546412,6.030865
30000,4,30.288695,6.320808
