size, procs, ordered_mean, static_mean
10000,1,5.637462,0.482480
10000,2,6.896660,0.516878
10000,3,6.044492,0.757090
10000,4,5.326904,0.775310
15000,1,9.165057,0.580829
15000,2,11.653227,0.567065
15000,3,11.945226,1.218900
15000,4,11.309204,1.164287
20000,1,13.999192,0.747558
20000,2,16.601881,0.632283
20000,3,17.775764,1.771525
20000,4,17.666002,1.777346
25000,1,20.165812,0.918475
25000,2,22.800914,0.766568
25000,3,24.713631,2.510779
25000,4,24.638919,2.606685
30000,1,27.769005,1.106233
30000,2,30.353953,0.915985
30000,3,33.178847,3.452806
30000,4,32.994268,3.419734
35000,1,36.688854,1.350824
35000,2,39.342058,1.112937
35000,3,43.113554,4.523557
35000,4,42.902903,4.822900
40000,1,47.038626,1.636627
40000,2,49.678188,1.295402
40000,3,54.625803,5.723911
40000,4,54.315117,6.182707
