size, procs, ordered_mean, static_mean
5000,1,1.058813,0.389609
5000,2,1.078425,0.400589
5000,3,1.337550,0.401207
5000,4,1.456427,0.412477
10000,1,3.131270,0.447026
10000,2,3.158613,0.441308
10000,3,4.417273,0.437168
10000,4,5.000737,0.469006
15000,1,6.563994,0.533370
15000,2,6.612435,0.504723
15000,3,8.975202,0.497107
15000,4,10.630608,0.502564
20000,1,11.385960,0.696343
20000,2,11.428078,0.595268
20000,3,14.130943,0.580584
20000,4,16.410432,0.569286
25000,1,17.565220,0.858470
25000,2,17.608908,0.754008
25000,3,20.346033,0.689372
25000,4,22.757725,0.662475
30000,1,25.161279,1.078279
30000,2,25.212301,0.851551
30000,3,28.083079,0.778544
30000,4,30.314172,0.777400
35000,1,36.688513,1.329573
35000,2,39.292505,1.085352
35000,3,39.500502,0.956238
35000,4,39.276188,0.924783
40000,1,47.014340,1.612340
40000,2,49.616413,1.254361
40000,3,49.940529,1.129326
40000,4,49.577818,1.118558
45000,1,58.669745,1.964431
45000,2,61.239858,1.480940
45000,3,61.801847,1.279133
45000,4,61.204498,1.226030
