size, procs, ordered_mean, static_mean
35000,1,33.928318,33.082586
35000,8,43.060641,4.779610
35000,16,38.534820,2.429003
35000,24,40.105239,1.815906
35000,32,38.481599,1.361275
35000,40,39.395282,1.315442
35000,48,39.399088,1.227167
35000,56,39.902863,1.001302
35000,64,39.549986,0.845894
35000,72,40.250127,0.791349
35000,80,40.341264,0.731595
35000,88,41.115845,0.710469
35000,96,42.037628,0.659461
35000,104,43.288237,0.732180
35000,112,43.783998,0.711374
35000,120,44.264342,0.820670
35000,128,50.635747,0.873539
35000,136,47.244266,0.681914
35000,144,44.785432,0.588837
35000,152,44.973463,0.557533
35000,160,43.989998,0.577742
35000,168,43.449273,0.537161
35000,176,43.324525,0.528819
35000,184,43.622982,0.604066
35000,192,43.312448,0.509214
35000,200,43.745524,0.513416
35000,208,43.470099,0.534483
35000,216,44.082161,0.480992
35000,224,44.441260,0.490696
35000,232,44.123311,0.479028
35000,240,44.425356,0.452781
35000,248,45.827366,0.443627
35000,256,45.025379,0.442132
