size, procs, static_mean
40000,1,43.185282
40000,8,5.820260
40000,16,2.954378
40000,24,2.107124
40000,32,1.585590
40000,40,1.336748
40000,48,1.158473
40000,56,1.082732
40000,64,0.890028
40000,72,0.844944
40000,80,0.763431
40000,88,0.731042
40000,96,0.689858
40000,104,0.677984
40000,112,0.652951
40000,120,0.647277
40000,128,0.594031
40000,136,0.578698
40000,144,0.561960
40000,152,0.549178
40000,160,0.523498
40000,168,0.542743
40000,176,0.512098
40000,184,0.503822
40000,192,0.474461
40000,200,0.448765
40000,208,0.468137
40000,216,0.457737
40000,224,0.433254
40000,232,0.433267
40000,240,0.427103
40000,248,0.434850
40000,256,0.430102
