size, procs, ordered_mean, static_mean
20000,1,11.153870,11.299219
20000,2,11.145770,5.783225
20000,3,12.772700,5.413031
20000,4,12.595064,4.885926
20000,5,12.610207,4.009044
20000,6,12.596921,3.911529
20000,7,12.568400,3.690145
20000,8,12.688509,3.050281
20000,9,12.602406,2.888338
20000,10,12.598925,3.142613
20000,11,12.527299,2.855624
20000,12,12.588927,2.772225
20000,13,12.532843,2.554101
20000,14,12.600653,2.520210
20000,15,12.668636,2.647945
20000,16,11.896938,1.825004
20000,17,11.930352,1.687796
20000,18,12.734567,2.438908
20000,19,11.880504,1.757359
20000,20,11.853631,1.554702
20000,21,11.924956,1.567547
20000,22,12.695257,2.475685
20000,23,11.891162,1.502310
20000,24,12.179975,1.893643
20000,25,12.247071,1.852083
20000,26,12.226166,1.896595
20000,27,12.293667,1.831655
20000,28,12.221447,1.687934
20000,29,12.325847,1.752253
20000,30,12.360111,1.725434
20000,31,12.454908,1.719700
20000,32,12.061574,1.459671
20000,33,12.053318,1.401349
20000,34,12.059816,1.411254
20000,35,12.095272,1.467339
20000,36,12.065313,1.465265
20000,37,12.117193,1.329068
20000,38,12.129683,1.395727
20000,39,12.096304,1.442519
20000,40,12.311702,1.598392
20000,41,12.266263,1.517773
20000,42,12.372674,1.575841
20000,43,12.345197,1.430851
20000,44,12.254058,1.543088
20000,45,12.285142,1.648560
20000,46,12.240309,1.586949
20000,47,12.290537,1.474864
20000,48,12.148101,1.409698
20000,49,12.164182,1.366790
20000,50,12.122623,1.263858
20000,51,12.118832,1.336444
20000,52,12.114129,1.298677
20000,53,12.086730,1.317457
20000,54,12.270941,1.720316
20000,55,12.056813,1.356289
20000,56,12.282321,1.462229
20000,57,12.266921,1.444947
20000,58,12.221560,1.467619
20000,59,12.183319,1.448213
20000,60,12.139515,1.424114
20000,61,12.156541,1.415040
20000,62,12.179713,1.481296
20000,63,12.186414,1.416144
20000,64,12.031033,1.188425
20000,65,12.061935,1.207208
20000,66,11.982115,1.222938
20000,67,12.021495,1.269423
20000,68,12.119585,1.262650
20000,69,12.107304,1.236456
20000,70,12.048394,1.264836
20000,71,12.050390,1.253099
20000,72,12.129522,1.345611
20000,73,12.112441,1.420893
20000,74,12.171534,1.276469
20000,75,12.143225,1.320076
20000,76,12.151250,1.332385
20000,77,12.180788,1.366178
20000,78,12.169803,1.286200
20000,79,12.230485,1.412727
20000,80,12.061644,1.245445
20000,81,12.067466,1.236133
20000,82,12.030247,1.254473
20000,83,12.084279,1.321117
20000,84,12.050939,1.228959
20000,85,12.122935,1.258090
20000,86,12.170642,1.293081
20000,87,12.192571,1.232974
20000,88,12.303895,1.402915
20000,89,12.342886,1.260430
20000,90,12.322045,1.299314
20000,91,12.387678,1.258435
20000,92,12.453570,1.270524
20000,93,12.451683,1.331439
20000,94,12.456414,1.301454
20000,95,



