threads_per_socket,ordered_mean,static_mean
1,24.903790,12.714814
2,24.826814,6.538949
4,24.823386,3.430121
6,24.838240,2.379694
8,24.866012,1.916176
10,24.888647,1.575165
12,24.901049,1.353700
14,24.898003,1.202735
16,24.915275,1.132890
18,24.908244,1.063591
20,24.921813,1.016825
22,24.933214,0.910683
24,24.929541,0.838762
26,24.941692,0.809257
28,24.938575,0.773264
30,24.941246,0.751039
32,24.955983,0.703544
34,24.963725,0.673263
36,24.963191,0.663587
38,24.992052,0.697955
40,24.974231,0.635070
42,24.960499,0.623884
44,24.971265,0.592090
46,24.972339,0.612407
48,24.976491,0.584519
50,24.958312,0.593138
52,24.959798,0.597234
54,24.988485,0.576545
56,24.975361,0.575509
58,24.985260,0.565744
60,24.993073,0.528287
62,24.992468,0.564405
64,25.014194,0.556740
