threads_per_socket,ordered_mean,static_mean
1,17.116208,8.710007
2,1,16.930164,8.308345
2,16.997723,4.184540
4,17.110734,2.121771
6,17.266964,1.437799
8,17.443901,1.105748
10,17.638983,0.883069
12,17.697674,0.752939
14,17.977281,0.651748
16,18.101934,0.583713
18,18.329094,0.524495
20,18.495726,0.477851
22,18.628916,0.436902
24,18.830383,0.412170
26,19.016666,0.376361
28,19.176487,0.360405
30,19.375721,0.332537
32,19.585184,0.331146
34,19.784110,0.312435
36,19.946140,0.296086
38,20.186571,0.286428
40,20.186743,0.275197
42,20.388298,0.258162
44,20.640728,0.243980
46,20.815625,0.243190
48,20.956691,0.280178
50,21.044371,0.239332
52,21.297705,0.218189
54,21.583168,0.212359
56,21.570448,0.203122
58,21.871550,0.197150
60,21.922564,0.206462
62,22.134540,0.199907
64,22.371100,0.188966
