threads_per_socket, ordered_mean, static_mean
1,24.440045,12.698848
2,24.463304,6.562809
3,24.523743,4.521603
4,24.546602,3.473069
5,24.755303,2.851527
6,24.700822,2.477424
7,24.798180,2.170982
8,24.890046,1.952319
9,24.975437,1.792711
10,25.053149,1.781048
11,25.155980,1.595998
12,25.259120,1.432744
13,25.331529,1.321668
14,25.399272,1.253882
15,25.497172,1.193140
16,25.551694,1.196291
17,25.688048,1.130572
18,25.835645,1.073228
19,25.854289,1.122371
20,25.951225,1.066669
21,26.054929,0.968900
22,26.121045,0.957974
23,26.211103,0.927266
24,26.287275,0.916277
25,26.370908,0.938072
26,26.485316,0.904440
27,26.600329,0.869367
28,26.647669,0.842550
29,26.728993,0.842025
30,26.822413,0.830881
31,26.909647,0.776514
32,27.006610,0.834765
33,27.092872,0.772193
34,27.184474,0.753686
35,27.270904,0.736390
36,27.409191,0.821854
37,27.452769,0.722454
38,27.576197,0.727573
39,27.589150,0.693128
40,27.694279,0.692703
41,27.742038,0.725644
42,27.832840,0.673828
43,27.951673,0.686756
44,28.222969,0.678638
45,28.274479,0.689566
46,28.191858,0.651387
47,28.287214,0.674271
48,28.356930,0.625013
49,28.447698,0.641718
50,24.880358,0.653261
51,24.907849,0.639091
52,24.909590,0.638639
53,24.869273,0.626335
54,24.863238,0.629121
55,24.953204,0.637936
56,24.840055,0.633408
57,24.869583,0.870784
58,24.871760,0.886047
59,24.890846,0.833650
60,24.917224,0.766430
61,24.871401,0.627272
62,24.858851,0.706038
63,24.851816,0.812151
64,24.888641,0.870643
