threads_per_socket, ordered_mean, static_mean
1,11.413677,6.049341
2,11.417466,3.324754
3,11.423074,2.389843
4,11.378266,1.942987
5,11.409019,1.662037
6,11.405772,1.465918
7,11.409566,1.350271
8,11.416433,1.247212
9,11.421030,1.166551
10,11.410044,1.104227
11,11.419424,1.053747
12,11.428456,1.007633
13,11.411074,0.975258
14,11.409432,0.958325
15,11.432806,0.919183
16,11.426691,0.897968
17,11.429028,0.870042
18,11.426164,0.851699
19,11.433984,0.831229
20,11.435758,0.841343
21,11.438946,0.815504
22,11.441614,0.800320
23,11.447149,0.798849
24,11.438168,0.797582
25,11.430674,0.759987
26,11.426253,0.769145
27,11.430639,0.754319
28,11.449172,0.754454
29,11.436578,0.744425
30,11.427091,0.756009
31,11.447288,0.717170
32,11.438618,0.734855
33,11.447807,0.713710
34,11.446285,0.714397
35,11.459582,0.713044
36,11.462713,0.707365
37,11.468583,0.706383
38,11.474785,0.695543
39,11.474822,0.678735
40,11.461173,0.685627
41,11.468921,0.679789
42,11.474625,0.679319
43,11.468861,0.684490
44,11.472626,0.681159
45,11.474969,0.684103
46,11.461976,0.672388
47,11.459128,0.676200
48,11.468559,0.671255
49,11.468078,0.639244
50,11.470566,0.652960
51,11.472240,0.653157
52,11.466333,0.648934
53,11.460797,0.628502
54,11.460568,0.643281
55,11.463926,0.627246
56,11.475692,0.621839
57,11.467407,0.632852
58,11.465065,0.625358
59,11.467736,0.641866
60,11.459573,0.620659
61,11.480089,0.627995
62,11.461995,0.623283
63,11.466420,0.624046
64,11.481211,0.622567
