size, procs, ordered_mean, static_mean
20000,1,13.817228,13.193369
20000,2,13.816582,6.734242
20000,3,15.138492,6.008734
20000,4,15.220718,4.887525
20000,5,15.229129,4.123556
20000,6,15.177787,3.827929
20000,7,15.245161,3.641370
20000,8,15.170931,3.653073
20000,9,15.279612,3.196321
20000,10,15.181300,3.225029
20000,11,15.213724,3.120206
20000,12,15.224058,2.796934
20000,13,15.159135,2.598622
20000,14,15.212699,2.746791
20000,15,15.256771,2.689838
20000,16,14.540470,1.976357
20000,17,14.642098,1.806239
20000,18,15.281184,2.381025
20000,19,14.535718,1.867677
20000,20,14.557318,1.821037
20000,21,14.521842,1.717405
20000,22,15.205749,2.307631
20000,23,14.565552,1.682758
20000,24,14.844192,1.892407
20000,25,14.753059,1.825791
20000,26,14.783168,1.916894
20000,27,14.746668,1.872941
20000,28,14.729643,1.752539
20000,29,14.748504,1.688949
20000,30,14.832489,1.664727
20000,31,14.753128,1.708424
20000,32,14.534035,1.548603
20000,33,14.513112,1.389241
20000,34,14.579904,1.439891
20000,35,14.547077,1.571234
20000,36,14.495881,1.460979
20000,37,14.519253,1.419931
20000,38,14.506866,1.388273
20000,39,14.475826,1.369801
20000,40,14.882948,1.615044
20000,41,14.681951,1.441685
20000,42,14.715322,1.419020
20000,43,14.714609,1.375085
20000,44,14.673137,1.365073
20000,45,14.716746,1.411711
20000,46,14.622588,1.400959
20000,47,14.698898,1.408465
20000,48,14.563744,1.240043
