size, procs, ordered_mean, static_mean
25000,1,20.714282,21.210499
25000,2,20.701172,10.635121
25000,4,24.484807,5.702152
25000,6,24.545248,3.874710
25000,8,24.787514,3.052747
25000,10,24.420985,2.392839
25000,12,25.106604,2.096923
25000,14,25.046499,1.797941
25000,16,22.962622,1.520848
25000,18,24.611219,1.497672
25000,20,22.771720,1.194650
25000,22,25.241329,1.164532
25000,24,23.703343,1.107598
25000,26,23.527911,1.038256
25000,28,23.672211,0.935210
25000,30,23.749565,0.896600
25000,32,22.920076,0.828609
25000,34,22.937295,0.774181
25000,36,22.931622,0.729379
25000,38,23.037343,0.726363
25000,40,23.642787,0.724679
25000,42,23.897101,0.718826
25000,44,23.298255,0.651745
25000,46,23.464847,0.632744
25000,48,23.353007,0.611885
