matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.007538,0.002795,2287.865078,481.624102
3000,0.019565,0.003915,2831.075997,360.109054
4000,0.041445,0.005673,3126.625549,280.063826
5000,0.085857,0.005205,2921.156366,154.760619
6000,0.185951,0.013150,2334.703502,163.226663
7000,0.380767,0.038292,1818.068386,163.619334
8000,0.547124,0.065935,1893.987542,185.916835
9000,0.845398,0.055673,1731.390091,102.842511
10000,1.117365,0.070928,1796.620620,105.737909
11000,1.340554,0.093920,1994.030886,118.315976
12000,1.676257,0.113563,2069.624805,116.646868
13000,2.083911,0.131864,2115.662192,113.004454
14000,2.620647,0.164938,2101.821059,122.865650
15000,2.965734,0.278294,2294.384441,197.427408
16000,3.411148,0.378862,2427.914768,239.229565
17000,4.284972,0.474248,2316.230650,209.563588
18000,4.780192,0.428999,2457.473415,194.875098
19000,4.028859,1.202107,3590.657263,628.473159
20000,4.370443,0.678891,3717.267221,364.945367
