matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.024835,0.006650,667.424961,87.229618
3000,0.063495,0.007352,860.261729,85.733369
4000,0.138069,0.017118,940.408996,107.743433
5000,0.297165,0.037262,852.251114,88.154453
6000,0.481257,0.052759,906.768092,83.484593
7000,0.739532,0.061100,932.979536,65.156849
8000,1.017011,0.092044,1013.693566,75.679024
9000,1.441440,0.096723,1015.344188,57.622001
10000,1.873437,0.120397,1071.361686,59.466670
11000,2.334132,0.165164,1145.031276,64.656134
12000,2.963920,0.196206,1170.175560,62.873923
13000,3.825031,0.217548,1152.021907,57.807389
14000,4.943918,0.471693,1118.628511,90.121498
15000,5.755896,0.594954,1182.640231,96.466543
16000,6.993118,0.879509,1186.366952,118.922643
17000,8.398416,0.875465,1180.387171,100.012202
18000,9.846496,0.914240,1193.085394,91.730966
19000,11.565589,1.222360,1196.742615,100.901370
20000,9.844541,2.108898,1669.421366,208.421579
