matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.013815,0.007389,1275.360741,224.761181
3000,0.033608,0.002621,1614.307158,96.925417
4000,0.066629,0.005519,1932.196225,134.639912
5000,0.120263,0.020274,2126.069608,287.507139
6000,0.199423,0.030805,2209.110738,279.327398
7000,0.358056,0.031011,1929.106193,152.695803
8000,0.465716,0.057249,2225.810706,220.805570
9000,0.662860,0.064536,2216.977513,179.326701
10000,0.941383,0.060746,2132.369081,121.726790
11000,1.200525,0.076225,2225.125358,122.642373
12000,1.413018,0.105741,2457.323691,154.049076
13000,1.774025,0.090315,2482.658309,114.495508
14000,2.138125,0.128864,2575.105390,139.858870
15000,2.437404,0.184809,2781.824019,165.018625
16000,3.044112,0.334659,2718.317587,248.598817
17000,3.761599,0.323623,2628.339751,188.047288
18000,4.094253,0.216986,2856.070514,136.327909
19000,4.843172,0.368648,2846.420928,184.514496
20000,4.748225,0.290329,3380.023944,169.559832
