matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.011907,0.005674,1474.525179,300.293237
3000,0.056350,0.005481,965.331396,73.056457
4000,0.109701,0.009755,1175.980273,104.962600
5000,0.191783,0.026144,1329.184058,189.280279
6000,0.305063,0.076239,1492.346001,308.408392
7000,0.533075,0.137256,1351.180875,252.774366
8000,0.784987,0.174980,1349.113519,203.133417
9000,0.965471,0.264206,1578.788373,254.660420
10000,1.232075,0.321828,1687.298925,248.320272
11000,1.743643,0.521216,1598.574674,248.513120
12000,1.998709,0.426398,1775.858584,221.951505
13000,2.350258,0.544918,1928.153894,259.764109
14000,3.118262,1.175130,1916.383591,419.747175
15000,3.692016,1.244906,1954.129254,380.033369
16000,3.928026,0.746711,2132.287137,251.045319
17000,4.683243,0.944661,2149.284335,258.784713
18000,6.127725,2.183366,2058.746105,439.426609
19000,6.814457,2.008063,2103.294652,313.544825
20000,7.930658,2.794500,2156.088201,399.630763
