matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.006842,0.003846,2623.609098,571.890615
3000,0.015977,0.006532,3661.408643,740.239426
4000,0.039351,0.008784,3344.955885,420.952501
5000,0.077856,0.009023,3243.780228,286.009225
6000,0.124070,0.020037,3571.031681,570.490985
7000,0.194072,0.029773,3612.756543,519.873451
8000,0.299151,0.052040,3519.306571,557.352046
9000,0.462457,0.103566,3277.254598,561.013338
10000,0.625062,0.182497,3373.733924,604.983618
11000,0.873085,0.205040,3151.858078,458.117386
12000,1.025414,0.246330,3477.326565,455.141291
13000,1.387404,0.324578,3266.302011,430.128275
14000,1.733879,0.358562,3245.207338,393.248999
15000,2.009167,0.287995,3405.656042,324.337504
16000,2.500884,0.709308,3429.809624,546.262693
17000,3.052810,0.824066,3358.816227,524.979589
18000,3.126645,0.635329,3823.208470,467.756465
19000,3.225040,0.949146,4434.259706,624.853626
20000,3.978038,0.846594,4133.612179,539.749979
