matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.054885,0.007796,300.142171,64.001694
3000,0.105816,0.038976,575.880886,179.227609
4000,0.213223,0.060147,633.632365,119.179923
5000,0.341076,0.092065,770.498089,140.854173
6000,0.486775,0.160742,946.471303,185.180763
7000,0.657108,0.195331,1095.272092,175.958754
8000,0.931655,0.227577,1136.267853,154.432613
9000,1.245042,0.270915,1202.731610,147.922695
10000,1.506788,0.326072,1362.986503,167.412733
11000,1.869989,0.372875,1456.904893,169.686081
12000,2.341186,0.447842,1508.578585,171.561124
13000,2.841878,0.512799,1579.339006,189.241036
14000,3.929082,1.329401,1497.756498,303.561432
15000,4.249748,1.236155,1663.988475,265.924545
16000,4.704094,0.643617,1763.607507,163.523539
17000,5.552249,0.826173,1794.824984,169.409392
18000,7.089160,2.070617,1730.550513,293.970603
19000,7.930673,2.754814,1845.178635,336.822470
20000,8.899055,2.714872,1887.514998,299.188598
