#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,41.742684,0.240754,47.914180,0.276138
2,21.250920,0.204199,94.122193,0.897116
4,11.626090,0.053319,172.030494,0.788642
6,8.422873,0.023656,237.450533,0.665280
8,6.062172,0.043583,329.931845,2.377261
10,5.320404,0.009939,375.912643,0.701862
12,4.194456,0.015860,476.826678,1.803915
14,3.993436,0.011283,500.825836,1.414044
16,3.098195,0.010616,645.544774,2.210024
18,3.228323,0.017004,619.534012,3.281879
20,2.564558,0.037535,780.026130,11.251965
22,2.788340,0.064980,717.650871,16.226957
24,2.502990,0.036400,799.210148,11.406204
26,2.447939,0.107664,818.500534,33.807387
28,2.063693,0.122416,972.378457,54.728006
30,2.041556,0.142827,984.338642,67.210086
32,1.955223,0.174985,1030.423057,84.208197
34,2.137874,0.109401,937.830511,45.399169
36,1.826532,0.201491,1106.724666,106.689510
38,1.973671,0.141976,1018.450472,71.161391
40,1.793975,0.240743,1132.575662,132.706602
42,1.733663,0.240228,1172.999110,140.300625
44,1.830638,0.310472,1120.332197,165.416967
46,1.776209,0.181414,1136.871101,106.853712
48,1.609792,0.280778,1274.315497,183.744641
50,1.742568,0.325913,1183.396741,193.049642
52,1.846112,0.357532,1119.439726,188.445806
54,1.576051,0.347533,1320.262157,234.176036
56,1.611758,0.406375,1306.011571,261.102520
58,1.603571,0.279299,1280.009442,189.267322
60,1.513363,0.390858,1397.111365,295.637891
62,1.545933,0.265284,1328.024522,200.987453
64,1.573877,0.482762,1370.615385,330.261587
66,1.636331,0.473757,1312.006390,314.232125
68,1.849803,0.474393,1144.839533,253.122347
70,1.476475,0.467593,1468.745607,366.881448
72,1.707230,0.427530,1238.853348,273.421788
74,1.481316,0.299856,1399.698805,246.560108
76,1.883449,0.475750,1121.237614,237.577013
78,1.661438,0.487988,1298.725148,329.284595
80,1.518001,0.518112,1452.506325,404.236850
82,1.548795,0.226371,1316.725618,174.873680
84,1.598760,0.612333,1415.913930,444.408159
86,1.467170,0.344205,1434.281192,304.111170
88,1.470979,0.507741,1508.636264,439.660198
90,1.425858,0.460277,1531.076941,406.142117
92,2.038084,0.647924,1068.995376,281.691633
94,1.428910,0.357288,1483.180882,338.350598
96,1.443326,0.536828,1566.419236,498.177964
98,1.734776,0.537513,1249.151109,314.776407
100,1.558838,0.550657,1430.135909,425.757670
102,1.821491,0.631249,1215.877048,347.727508
104,1.472600,0.510424,1507.237829,439.243646
106,1.430606,0.358604,1482.963518,343.923629
108,1.542972,0.522649,1432.267903,407.737394
110,1.627051,0.540926,1350.854660,371.172734
112,1.722317,0.602645,1285.969301,363.694446
114,1.970740,0.706037,1127.824988,322.149542
116,2.271226,0.919864,1013.745264,343.815139
118,1.575168,0.304985,1325.335424,293.796089
120,1.604686,0.552391,1379.237450,392.254303
122,1.388552,0.408593,1569.403222,449.155140
124,2.547517,0.922362,872.256390,247.278447
126,1.457098,0.526002,1536.579528,462.208395
128,1.921877,0.688982,1154.922734,325.674547
