#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,20.499854,0.046050,97.562163,0.218436
2,10.336922,0.060754,193.487843,1.132452
4,5.371638,0.026659,372.335116,1.851287
6,3.726149,0.006580,536.748886,0.948087
8,2.759399,0.009506,724.804096,2.503157
10,2.414949,0.007975,828.183984,2.736488
12,1.940497,0.004532,1030.669295,2.407888
14,1.817185,0.006093,1100.615794,3.682206
16,1.527787,0.007566,1309.114630,6.455416
18,1.411716,0.013638,1416.847574,13.706006
20,1.290224,0.021882,1550.565030,26.355090
22,1.286444,0.030412,1555.547028,36.955062
24,1.145048,0.040065,1748.756223,60.167413
26,1.156474,0.044559,1731.901854,65.105055
28,1.071920,0.069238,1873.222032,114.862665
30,1.028946,0.077266,1954.213852,139.691165
32,0.979750,0.113460,2065.690799,210.881080
34,0.992526,0.077218,2026.766789,150.814067
36,0.968074,0.130382,2101.100770,261.483692
38,0.923000,0.082006,2183.387204,186.752542
40,0.976865,0.144107,2089.789235,288.085262
42,0.946421,0.154572,2166.608408,327.801492
44,1.005527,0.216662,2076.200234,406.272379
46,0.872289,0.107206,2325.563326,267.921109
48,0.898034,0.186773,2316.037430,429.624057
50,0.974747,0.234246,2172.445303,511.167145
52,1.024534,0.250386,2067.806071,477.933705
54,0.826122,0.217347,2553.786442,509.358404
56,0.930675,0.247696,2297.413051,563.057405
58,0.846213,0.140110,2423.512530,365.057682
60,0.888809,0.233378,2406.321321,600.881188
62,0.831394,0.094247,2434.961543,259.971881
64,0.818434,0.281119,2661.255090,641.887025
66,1.003324,0.293712,2176.859399,640.733178
68,1.041059,0.253557,2011.871380,375.348117
70,0.795587,0.249610,2734.353156,716.130196
72,1.124186,0.253298,1868.389379,400.193179
74,0.818777,0.100695,2480.136791,306.106059
76,1.225637,0.389774,1792.025774,511.026606
78,1.125351,0.297753,1900.034273,469.365238
80,1.057063,0.251906,1996.301542,443.174937
82,0.680694,0.116435,3030.462985,540.910717
84,1.087183,0.290321,1964.918270,472.560999
86,0.742262,0.135510,2794.470565,560.388991
88,0.808119,0.293307,2766.921797,835.257011
90,0.846513,0.240051,2557.713258,695.238360
92,1.146582,0.428361,1921.114863,477.642136
94,0.641083,0.093956,3192.550589,497.291564
96,0.930288,0.303470,2404.554832,804.418595
98,1.133121,0.381819,1966.207770,603.003855
100,1.028695,0.313357,2118.483337,576.959176
102,1.230695,0.454213,1867.081159,675.635759
104,0.887108,0.301474,2558.342734,910.421726
106,0.556261,0.042360,3618.460633,302.753565
108,0.947348,0.321460,2409.854470,919.474805
110,1.087718,0.311780,1995.248137,556.010845
112,1.013596,0.380074,2173.959104,540.394352
114,1.370392,0.452194,1613.652054,474.904406
116,1.288478,0.570566,1801.695733,584.033032
118,0.499196,0.032888,4024.369498,272.858040
120,1.010649,0.292812,2154.132940,615.099496
122,0.496823,0.010277,4027.287856,82.536599
124,1.618333,0.811312,1575.889470,701.395693
126,0.787294,0.133797,2628.646995,524.157923
128,1.166576,0.489736,2049.490983,823.795724
