#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,43.043959,0.124923,46.464518,0.134298
2,21.966375,0.147883,91.052356,0.610087
4,11.384827,0.031550,175.673753,0.486587
6,7.544780,0.032232,265.088813,1.138331
8,6.104523,0.028719,327.633133,1.531912
10,4.931531,0.027419,405.566126,2.264330
12,4.501810,0.032470,444.288794,3.197968
14,4.128518,0.020179,484.446965,2.373299
16,3.969777,0.009048,503.809290,1.146924
18,3.475179,0.131070,576.296978,20.875924
20,3.317285,0.208279,605.095906,34.940838
22,3.031299,0.270711,664.493234,52.771635
24,2.948959,0.346616,686.350574,69.370947
26,2.708267,0.390128,751.421912,89.949240
28,2.744469,0.403926,742.040407,90.493137
30,2.543228,0.394760,802.110853,101.234632
32,2.681604,0.380416,758.638766,90.516384
34,2.408227,0.450655,853.882346,125.070093
36,2.489039,0.446714,824.599036,117.567155
38,2.232577,0.512288,932.410689,159.502367
40,2.360563,0.479978,875.247740,137.896135
42,2.134884,0.533124,981.776842,180.461371
44,2.135902,0.329001,955.158503,122.276953
46,2.036389,0.529683,1032.696479,194.691176
48,2.193234,0.559562,957.882437,181.146994
50,2.020671,0.510860,1040.117828,201.218839
52,2.136119,0.637247,1000.490944,217.717300
54,1.961406,0.601746,1090.737340,232.420711
56,2.126112,0.688918,1016.802233,238.626704
58,1.917972,0.608740,1121.363148,249.699239
60,2.128210,0.641905,1003.954576,214.097537
62,1.923916,0.575787,1110.995340,241.152546
64,2.096615,0.624256,1021.152872,230.673330
66,1.893147,0.592092,1136.922456,261.110382
68,2.132902,0.597042,994.547843,204.972761
70,1.897033,0.647148,1145.726004,270.970131
72,2.083940,0.618432,1025.209648,223.536828
74,1.878861,0.602883,1150.228361,272.513270
76,2.075973,0.668237,1038.146107,234.649211
78,1.879327,0.645290,1158.135320,277.463354
80,2.208055,0.618584,961.525895,201.829799
82,1.859466,0.693347,1187.953133,307.240150
84,2.181877,0.649730,978.479885,209.671939
86,1.833687,0.725881,1218.894322,330.154292
88,2.164211,0.676184,995.170938,232.960281
90,1.827675,0.748035,1231.405312,341.682683
92,2.137298,0.716615,1017.577415,250.506241
94,1.822337,0.774340,1241.730374,345.161432
96,2.155619,0.715391,1004.958656,236.166526
98,1.838614,0.751730,1221.865987,333.554344
100,2.160530,0.718157,1002.334386,233.632593
102,1.826349,0.783912,1245.311124,357.416699
104,2.156184,0.727861,1006.297435,235.691932
106,1.910314,0.763870,1170.188476,312.994856
108,2.133477,0.760186,1025.560127,250.767345
110,1.905999,0.783855,1179.175376,320.864473
112,2.105363,0.791749,1045.975503,256.798809
114,1.973403,0.783953,1130.907947,300.389097
116,2.100073,0.800934,1052.789546,266.155894
118,1.927739,0.825459,1175.824730,330.065700
120,2.173760,0.785515,1008.521256,247.777816
122,2.046593,0.764290,1079.463767,278.247453
124,2.242501,0.763212,968.691939,228.159419
126,2.147453,0.757593,1016.116025,242.107618
128,2.242429,0.792805,976.880852,246.137597
