#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,31.407003,0.044941,63.680194,0.090958
2,15.996533,0.159640,125.039389,1.231939
4,10.901578,0.070679,183.467325,1.179360
6,5.625164,0.014438,355.547559,0.913308
8,4.301633,0.010084,464.942231,1.092288
10,3.934314,0.009111,508.350543,1.176477
12,3.152093,0.001600,634.499233,0.322131
14,2.760415,0.009454,724.537265,2.480702
16,2.616776,0.003888,764.301098,1.136396
18,2.312805,0.018346,864.805604,6.895584
20,2.178980,0.032850,918.072073,14.025220
22,2.108324,0.026696,948.775315,12.213431
24,1.888756,0.014246,1058.958240,7.995013
26,1.770952,0.037302,1129.826035,23.269829
28,1.672763,0.050757,1196.687862,34.971730
30,1.551459,0.086742,1292.857943,67.063583
32,1.531483,0.113098,1312.371535,87.312287
34,1.439637,0.115218,1397.243371,100.026615
36,1.386327,0.120612,1452.621014,114.613158
38,1.398176,0.143974,1444.455577,136.779957
40,1.288832,0.153763,1571.546038,165.983483
42,1.240837,0.177309,1641.180450,206.222295
44,1.222233,0.186521,1669.325956,217.041697
46,1.180190,0.204878,1738.547965,254.161431
48,1.102501,0.210987,1867.211246,277.775702
50,1.081485,0.212934,1906.463988,290.383198
52,1.073118,0.296405,1969.995361,384.740498
54,1.052513,0.260117,1988.991722,359.361811
56,1.027282,0.254308,2038.252907,369.366238
58,1.064448,0.300260,1994.418122,413.116741
60,1.016911,0.304604,2098.215772,440.510632
62,1.095818,0.333699,1958.590507,443.704946
64,0.999681,0.310836,2145.054488,467.345237
66,0.997104,0.334287,2170.828531,494.980556
68,1.024447,0.344438,2116.197621,492.210951
70,0.978543,0.283462,2179.137140,472.542358
72,0.970263,0.293316,2215.650396,518.697480
74,1.096921,0.366318,1982.943533,488.832870
76,0.950318,0.293476,2262.498311,519.125218
78,0.949668,0.277177,2253.671831,516.320499
80,0.935949,0.317174,2340.266669,610.637500
82,0.925164,0.306473,2361.993095,614.415562
84,0.989685,0.321354,2233.881390,670.763520
86,0.972470,0.362106,2309.829039,703.094025
88,1.000658,0.340730,2227.765719,686.800074
90,0.986134,0.335458,2268.243140,724.016252
92,0.964278,0.371437,2379.085479,809.685419
94,0.992462,0.440995,2326.496079,721.954179
96,0.861128,0.379389,2753.898178,990.332891
98,0.886418,0.360745,2611.244742,883.499381
100,0.893801,0.349209,2568.564295,859.999309
102,0.988891,0.362188,2322.396041,846.612002
104,0.939006,0.367922,2484.082745,924.234925
106,0.969018,0.346840,2348.743956,820.279024
108,0.914234,0.366895,2610.409197,1077.540784
110,0.942230,0.341582,2443.687291,910.513993
112,0.953627,0.323476,2361.704189,798.678900
114,0.979937,0.342422,2320.013319,827.224343
116,0.918724,0.389370,2601.976139,1020.824104
118,0.913633,0.355311,2582.835571,1033.784247
120,0.913843,0.330935,2543.665448,994.979167
122,0.932502,0.346624,2483.970338,937.112072
124,1.006989,0.423167,2376.146114,958.193965
126,0.925039,0.325336,2467.756836,888.003138
128,0.891309,0.333915,2643.910344,1086.817761
