#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,41.853538,0.101248,47.785964,0.115226
2,21.185696,0.233707,94.414688,1.030697
4,10.744632,0.065133,186.146286,1.127377
6,7.444492,0.042944,268.663897,1.541477
8,5.697773,0.009911,351.015384,0.610495
10,4.679682,0.008373,427.380790,0.764412
12,4.004215,0.010028,499.476761,1.250036
14,3.616149,0.005982,553.076105,0.912899
16,3.176440,0.004379,629.636896,0.867710
18,2.998711,0.015022,666.969937,3.317943
20,2.610920,0.025463,766.085444,7.374008
22,2.489268,0.028491,803.552589,9.060288
24,2.263637,0.034323,883.733280,13.143346
26,2.134380,0.080040,938.293515,33.426148
28,2.126663,0.073153,941.503704,30.906148
30,2.107458,0.066703,949.924132,28.860835
32,1.942333,0.102640,1032.384124,51.010208
34,1.924286,0.155612,1045.465598,75.688033
36,1.905181,0.158552,1056.304983,78.563606
38,1.828752,0.186618,1103.641391,98.013377
40,1.764292,0.221662,1148.925133,122.043391
42,1.813339,0.212636,1116.054818,111.914400
44,1.719019,0.229178,1181.072401,132.252895
46,1.674487,0.236603,1214.709231,143.990765
48,1.617695,0.270480,1265.662731,176.098816
50,1.590233,0.304497,1295.192707,196.413296
52,1.554815,0.340303,1335.727095,226.625301
54,1.596033,0.299919,1288.997234,191.305607
56,1.592372,0.326638,1298.503769,207.854814
58,1.598314,0.323380,1292.879252,206.123820
60,1.620964,0.400843,1293.849168,244.290823
62,1.564521,0.443271,1359.736394,290.273792
64,1.608358,0.400310,1305.104128,249.391916
66,1.626333,0.384681,1288.969290,252.523298
68,1.590459,0.372470,1314.358045,244.737243
70,1.621340,0.376071,1287.485823,234.135079
72,1.627545,0.416475,1293.100913,253.102592
74,1.653624,0.420791,1269.509084,236.448317
76,1.617249,0.417311,1302.699315,258.080736
78,1.594486,0.417479,1324.623800,271.213364
80,1.652882,0.433741,1276.409127,255.184920
82,1.760377,0.440453,1195.812135,240.935058
84,1.676674,0.522835,1286.493301,304.643866
86,1.707797,0.501859,1254.187477,286.550886
88,1.602141,0.494542,1345.999625,321.008689
90,1.656576,0.533468,1309.404710,322.033096
92,1.693160,0.562351,1287.871960,326.634586
94,1.614540,0.521368,1344.541863,333.015944
96,1.660422,0.570765,1320.184322,342.938137
98,1.615434,0.543211,1352.516001,346.261900
100,1.583173,0.613205,1406.463864,376.374087
102,1.571093,0.623529,1423.958655,387.394877
104,1.604453,0.620882,1396.731115,396.604939
106,1.645138,0.629241,1352.623912,364.851727
108,1.677223,0.653097,1327.808009,353.426341
110,1.580548,0.698654,1445.117457,414.388441
112,1.537668,0.703445,1506.082930,460.775370
114,1.589623,0.684018,1450.390692,458.299727
116,1.583509,0.660663,1435.921020,424.496640
118,1.597308,0.743790,1456.688074,451.267772
120,1.606780,0.706615,1429.251835,430.301465
122,1.615836,0.701586,1423.670758,439.663210
124,1.577162,0.801860,1496.644839,457.636596
126,1.589205,0.725192,1449.924074,428.641354
128,1.683086,0.724552,1370.610442,434.536294
