#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,20.598123,0.035535,97.096513,0.167176
2,10.456093,0.038819,191.278670,0.707747
4,5.244391,0.022368,381.366755,1.625617
6,3.615016,0.010038,553.252209,1.534399
8,2.812609,0.003061,711.084372,0.773594
10,2.278265,0.023116,877.951009,8.867378
12,1.942980,0.003429,1029.349951,1.815118
14,1.720159,0.002561,1162.685539,1.730208
16,1.541941,0.003872,1297.074563,3.256277
18,1.401975,0.008980,1426.616890,9.082254
20,1.277818,0.012695,1565.321012,15.422875
22,1.253202,0.025762,1596.572205,32.098428
24,1.138094,0.051360,1760.753521,76.037809
26,1.081064,0.091675,1862.161984,143.213267
28,1.099005,0.088067,1830.582873,134.356105
30,1.086700,0.100265,1854.645064,154.230472
32,0.911149,0.028172,2197.103065,67.059393
34,0.924532,0.022488,2164.513756,51.715303
36,0.904233,0.030756,2214.331836,73.856366
38,0.871283,0.046521,2301.822063,119.154586
40,0.851488,0.079291,2367.282460,198.433836
42,0.853914,0.066220,2355.203516,168.458249
44,0.848534,0.092587,2382.674627,235.832976
46,0.801414,0.130617,2551.229820,342.325918
48,0.770064,0.121415,2653.755959,361.144325
50,0.780654,0.147307,2640.045199,416.726756
52,0.770157,0.184074,2717.574317,509.086214
54,0.787212,0.204456,2676.069510,525.492500
56,0.784359,0.174518,2655.562083,478.765257
58,0.775309,0.191212,2710.332148,535.141318
60,0.800977,0.197346,2619.761557,502.550866
62,0.793609,0.238568,2715.003642,657.194145
64,0.789410,0.208754,2690.780742,600.678702
66,0.859603,0.236545,2477.121265,553.664035
68,0.897147,0.259158,2409.102892,622.872454
70,0.858868,0.226208,2472.901560,552.790003
72,0.835993,0.236595,2562.828742,609.438401
74,0.884720,0.248041,2431.943534,612.206162
76,0.924352,0.337844,2446.765022,775.382288
78,0.831427,0.278779,2657.181400,756.755024
80,0.918673,0.358743,2502.000043,834.688404
82,0.844283,0.298125,2641.490803,780.378701
84,0.897023,0.342755,2552.694080,846.354557
86,0.858485,0.299954,2590.171091,754.741641
88,0.882568,0.363509,2650.454268,933.994014
90,0.857831,0.297349,2592.306368,763.480954
92,0.817188,0.321422,2800.051501,906.716867
94,0.894705,0.396535,2682.700483,1010.417416
96,0.979992,0.486079,2551.265073,1050.047098
98,1.009078,0.467058,2405.850569,930.599127
100,0.816446,0.345765,2753.100074,718.352885
102,0.895723,0.347787,2559.942122,852.378366
104,0.879249,0.583290,2946.762648,1036.689805
106,1.017638,0.466630,2399.702729,966.663649
108,0.910703,0.326679,2471.253304,782.838249
110,0.938489,0.366792,2461.142660,874.081639
112,0.960255,0.420468,2493.422195,947.124806
114,0.875909,0.624285,3072.121093,1144.500297
116,1.003203,0.477244,2498.794435,1085.955760
118,0.975483,0.393539,2389.269760,854.725021
120,0.879925,0.418386,2784.507020,1114.510235
122,0.850994,0.376660,2673.843064,742.722414
124,0.897620,0.430954,2741.086311,1114.070525
126,0.917918,0.440003,2655.087164,1030.669726
128,0.953413,0.383317,2404.355064,796.650262
