#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,41.630448,0.128528,48.042218,0.148034
2,21.993693,0.404414,90.965239,1.636022
4,11.059514,0.104417,180.855856,1.703901
6,7.496513,0.222916,267.018577,7.663917
8,5.728097,0.193874,349.542638,11.423613
10,4.551739,0.145845,439.842441,14.044700
12,3.765787,0.125995,531.678679,17.375897
14,3.352024,0.099877,597.180737,17.666772
16,2.871034,0.141435,698.258358,33.439363
18,2.606272,0.118259,769.000168,35.724205
20,2.364802,0.122181,848.015344,44.154194
22,2.281804,0.091288,877.920539,35.531097
24,2.060678,0.177515,977.592361,82.002707
26,2.052196,0.142675,979.250079,67.439436
28,1.911285,0.317079,1071.030934,149.214758
30,1.786768,0.284838,1143.327418,150.963833
32,1.806661,0.403275,1151.878806,202.599418
34,1.705175,0.210582,1189.187057,132.481139
36,1.652641,0.389028,1266.112355,240.983653
38,1.808589,0.261297,1127.637844,151.575590
40,1.632743,0.494292,1319.492625,319.123460
42,1.529376,0.463037,1407.610841,335.601688
44,1.753181,0.497953,1220.837617,288.346407
46,1.712079,0.179616,1180.217990,115.478335
48,1.434706,0.426664,1496.285747,349.101229
50,1.614287,0.528410,1349.274590,342.680047
52,1.767827,0.582873,1233.876727,316.630871
54,1.423648,0.466049,1530.488995,390.533928
56,1.455847,0.524237,1523.363107,424.318132
58,1.523197,0.317802,1362.057813,237.369356
60,1.388526,0.483328,1587.534009,431.603704
62,1.695483,0.283780,1214.079395,210.238812
64,1.453034,0.565051,1551.664902,460.627108
66,1.580235,0.609229,1430.685615,442.124638
68,1.875379,0.731125,1202.546297,360.249136
70,1.465282,0.525073,1508.358914,408.008578
72,1.668904,0.635858,1348.171421,405.886214
74,1.429932,0.312109,1457.680160,273.423081
76,2.008337,0.781491,1119.525580,327.207148
78,1.727402,0.624953,1286.581355,364.736527
80,1.577864,0.582382,1417.453966,415.442697
82,1.403223,0.335263,1497.462546,307.798499
84,1.683062,0.608146,1322.682566,380.902728
86,1.410551,0.363936,1498.151919,314.593836
88,1.498444,0.551915,1491.624135,434.410919
90,1.442147,0.522489,1546.109105,449.878520
92,2.265093,0.820793,977.324384,266.328591
94,1.518753,0.311226,1362.729265,225.451906
96,1.581759,0.523296,1385.277814,371.512052
98,1.837893,0.630384,1196.878499,324.307989
100,1.674329,0.527504,1299.188583,337.887632
102,1.946385,0.717414,1145.198409,326.512234
104,1.541896,0.502111,1419.921886,382.636721
106,1.611896,0.398407,1318.564319,316.979790
108,1.602091,0.559654,1381.573635,388.924206
110,1.686882,0.577893,1303.040508,349.623764
112,1.791544,0.627423,1235.687712,348.270109
114,2.012142,0.745825,1111.420565,326.514605
116,2.349222,1.019968,990.181248,332.746946
118,1.539852,0.452200,1427.466809,442.957006
120,1.618513,0.569440,1369.836932,388.907930
122,1.651382,0.398632,1286.168452,313.291549
124,2.536574,0.966892,884.428781,259.288556
126,1.391794,0.495084,1586.337496,427.832217
128,1.888527,0.702183,1186.497645,351.505167
