#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
7,1,20.464611,0.044351,97.730143,0.211130
2,10.614103,0.252783,188.532300,4.356858
4,5.422940,0.090998,368.905085,6.045723
6,3.686100,0.104922,543.003971,14.939310
8,2.839374,0.086992,705.016930,20.770011
10,2.228579,0.067603,898.246099,26.819349
12,1.867148,0.073830,1072.763986,40.772929
14,1.633437,0.048749,1225.547585,38.044237
16,1.461225,0.079353,1372.844504,76.085473
18,1.316916,0.079272,1524.207011,91.620717
20,1.226179,0.088150,1639.338469,115.057876
22,1.128186,0.023820,1773.547508,37.417481
24,1.037067,0.115782,1952.611753,216.576247
26,0.954826,0.021367,2095.666259,46.671033
28,0.943928,0.204198,2198.272510,369.098756
30,0.886319,0.100332,2283.196969,236.255577
32,0.957682,0.188522,2166.121092,396.388067
34,0.764193,0.025594,2620.178434,90.729523
36,0.796904,0.137591,2584.581221,438.436733
38,0.778981,0.040531,2574.753870,140.319504
40,0.876640,0.249236,2468.338125,663.955165
42,0.830072,0.231804,2596.830971,675.449742
44,0.990202,0.275911,2178.737918,581.427054
46,0.726549,0.037757,2760.371072,146.883151
48,0.780407,0.176959,2689.607164,565.510925
50,0.975987,0.350213,2317.700228,772.399537
52,0.891988,0.383542,2547.925924,725.520500
54,0.782987,0.239299,2789.203044,775.565138
56,0.847075,0.294026,2676.660553,925.856824
58,0.675711,0.043903,2972.581509,196.472717
60,0.656831,0.209977,3333.401958,913.634700
62,0.653632,0.019840,3062.639618,92.764691
64,0.836353,0.252534,2614.800615,747.257016
66,0.999724,0.354722,2283.558694,827.458337
68,1.163636,0.528446,2071.923534,808.818350
70,0.818471,0.202262,2596.958314,627.187787
72,1.063264,0.325670,2061.572334,600.152363
74,0.633806,0.059949,3185.178069,313.443684
76,1.207858,0.368260,1776.804726,403.837014
78,1.099120,0.376820,2028.151710,615.115728
80,0.776999,0.308035,2891.455754,818.402883
82,0.642014,0.053798,3138.459770,277.887937
84,0.999035,0.370325,2288.719845,795.881707
86,0.631867,0.036728,3175.970022,185.043366
88,0.735070,0.271075,3040.732206,883.881523
90,0.817216,0.197175,2594.507307,615.255390
92,1.052263,0.565901,2277.572279,713.302222
94,0.633693,0.055163,3179.814904,272.879757
96,0.921656,0.296624,2413.273464,768.958761
98,1.139100,0.467703,2051.397949,738.430983
100,0.986299,0.367756,2321.426725,807.328278
102,1.189894,0.564597,2082.986522,879.006800
104,0.753323,0.285122,2973.548599,862.498922
106,0.597931,0.049861,3369.827888,299.774889
108,0.783941,0.319364,2888.922251,850.200741
110,0.847509,0.332368,2632.795316,708.754318
112,0.909353,0.430885,2542.342710,733.269906
114,1.166200,0.423280,1891.274481,496.511985
116,1.545685,0.708501,1566.093982,605.036177
118,0.569310,0.016519,3516.057554,104.602950
120,0.987058,0.328907,2272.922126,759.183222
122,0.525047,0.021971,3816.105969,165.532907
124,1.663763,0.757675,1467.021638,595.750216
126,0.779333,0.145845,2671.765069,570.042721
128,1.091410,0.386115,2004.943010,494.618413
