#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
6.653420,0.056048,300.618533,2.523867
1,42.867547,0.154787,46.655946,0.167560
2,22.359000,0.387109,89.475993,1.534001
4,11.599555,0.058636,172.424796,0.868952
6,7.542379,0.112625,265.226883,3.922487
8,5.915632,0.172870,338.364461,9.484131
10,4.566942,0.051760,437.985592,4.923070
12,3.982751,0.159489,502.961971,19.899643
14,3.296230,0.079038,607.098921,14.398581
16,3.081131,0.195055,651.618622,39.621997
18,2.719931,0.221604,739.721099,54.138819
20,2.666842,0.465074,769.089884,110.195679
22,2.451721,0.427733,836.489318,119.238732
24,2.357982,0.565197,886.281005,159.560664
26,2.231419,0.601376,946.878240,188.978016
28,2.156847,0.641865,989.668773,211.492610
30,2.055153,0.625238,1039.976925,220.353779
32,1.999869,0.668061,1080.730268,241.833896
34,1.953724,0.614927,1098.176682,237.300089
36,1.945470,0.755092,1137.097411,281.930569
38,1.906754,0.715361,1153.677843,280.196163
40,1.836949,0.777331,1225.152233,324.700877
42,1.845773,0.737179,1206.019996,308.729066
44,1.820403,0.760207,1233.261026,324.710753
46,1.855039,0.778513,1214.448582,329.481442
48,1.817157,0.804846,1251.986101,345.696804
50,1.864406,0.808662,1214.772232,330.797505
52,1.800437,0.839937,1279.030304,365.565108
54,1.889361,0.794065,1191.779150,321.075639
56,1.780111,0.828285,1292.005814,365.816001
58,1.897226,0.775361,1178.182053,305.396728
60,1.742292,0.816913,1325.024288,383.449109
62,1.888546,0.812437,1195.978561,320.804223
64,1.732315,0.838365,1344.039720,398.137754
66,1.958389,0.747353,1127.213937,279.209779
68,1.806820,0.792696,1260.628001,356.720189
70,1.977587,0.771088,1121.994671,286.459415
72,1.992101,0.746704,1108.087193,281.527765
74,2.009746,0.766517,1100.509134,279.486201
76,1.985171,0.795837,1124.723436,296.617907
78,2.032704,0.776733,1088.410353,276.914857
80,2.097821,0.752024,1042.102489,249.439845
82,2.046024,0.753298,1073.814990,263.974308
84,2.077012,0.742901,1053.539942,256.285071
86,2.018286,0.778379,1101.532723,292.876641
88,2.095255,0.735172,1042.359176,254.029667
90,2.080959,0.747286,1050.601520,250.717037
92,2.143401,0.712458,1010.896681,237.269355
94,2.130012,0.761960,1032.965314,269.226770
96,2.204620,0.712909,977.395270,218.491553
98,2.147150,0.731335,1012.141825,239.449647
100,2.136813,0.774015,1027.615877,257.227269
102,2.102746,0.740695,1039.200636,252.960973
104,2.171096,0.749498,1001.281210,233.482919
106,2.130152,0.759708,1029.251402,257.115490
108,2.166724,0.753329,1005.429969,239.420045
110,2.095800,0.755268,1047.104380,261.412121
112,2.146735,0.749793,1015.884200,244.347390
114,2.057125,0.762691,1070.550551,268.557462
116,2.153728,0.777966,1016.948269,247.108056
118,2.158747,0.811494,1020.427807,251.591166
120,2.187546,0.788559,999.978928,239.310874
122,2.108300,0.775447,1043.854598,262.140137
124,2.205465,0.809724,995.139393,242.357705
126,2.125523,0.872689,1057.856488,291.993805
128,2.252019,0.797092,971.356087,238.984050
