#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,31.209391,0.177420,64.085329,0.361242
2,16.033612,0.179866,124.753480,1.384135
4,11.276245,0.114998,177.382399,1.803301
6,5.646357,0.034872,354.224100,2.173475
8,4.943875,0.145282,404.903814,12.350550
10,4.664914,0.159406,429.260558,15.455474
12,3.641869,0.136901,549.991418,21.888130
14,2.885800,0.022088,693.089443,5.305992
16,2.901587,0.053041,689.513294,12.876921
18,2.410498,0.019969,829.760690,6.825273
20,2.123614,0.092829,943.483379,38.721642
22,2.047000,0.098520,979.160836,44.084336
24,1.849435,0.081598,1083.392032,44.896507
26,1.684849,0.082761,1189.732693,54.626985
28,1.554464,0.137863,1295.701969,102.500532
30,1.397864,0.102310,1437.914303,97.925515
32,1.318438,0.129479,1529.856782,131.498463
34,1.432064,0.242176,1430.177956,199.463776
36,1.216920,0.207228,1683.351661,234.866692
38,1.426666,0.454401,1507.068886,332.027298
40,1.178504,0.168750,1728.127089,217.703704
42,1.131544,0.166203,1802.910805,241.774300
44,1.082742,0.206769,1902.084397,288.627646
46,1.061026,0.195340,1937.006263,283.202548
48,1.068797,0.216770,1943.019526,355.373188
50,1.041038,0.201079,1988.023700,347.211604
52,1.068684,0.318385,2008.468261,466.316084
54,1.029752,0.272835,2061.299828,454.727277
56,1.011976,0.236352,2076.164901,429.900486
58,1.078384,0.399096,2048.117447,531.820086
60,1.002325,0.253031,2111.390294,462.557678
62,1.214187,0.537936,1878.638239,532.339866
64,0.980573,0.249457,2162.556406,485.404408
66,1.007923,0.243885,2094.237264,460.119598
68,1.009424,0.345530,2196.941590,649.175554
70,0.995459,0.257728,2144.763643,530.053222
72,1.002949,0.251720,2123.559122,520.974232
74,1.293204,0.542497,1772.998083,572.519385
76,0.959898,0.322971,2312.853113,693.519171
78,0.980788,0.251907,2181.379900,563.753383
80,0.976395,0.248822,2188.311822,556.689319
82,0.976600,0.247287,2186.557848,554.745089
84,0.951620,0.285232,2305.063928,688.616213
86,1.016615,0.294667,2136.978997,598.287610
88,0.984751,0.267963,2191.156024,603.181889
90,0.967103,0.264259,2232.968046,616.389183
92,0.958057,0.309365,2316.675871,722.335466
94,1.064054,0.508478,2278.915401,856.057664
96,0.945657,0.317442,2374.376655,787.225538
98,0.976099,0.307622,2265.447945,704.560328
100,0.950573,0.317671,2353.948273,762.866696
102,0.995905,0.332739,2242.664685,712.964400
104,0.940615,0.344838,2438.006167,865.820782
106,0.962705,0.347138,2357.522011,793.399466
108,0.931695,0.336951,2458.707612,878.312361
110,0.947114,0.337993,2406.752643,844.503793
112,0.948856,0.355163,2432.937148,894.409806
114,0.974890,0.363541,2366.423435,876.207895
116,0.944134,0.380251,2476.797542,904.389721
118,0.924380,0.365344,2542.075451,979.100509
120,0.906424,0.336935,2568.690273,993.582263
122,0.929795,0.324130,2447.844540,867.373016
124,0.999694,0.524265,2576.221126,1131.160265
126,0.908931,0.342660,2570.309073,1002.778894
128,0.906170,0.307337,2523.731245,948.878438
