#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,42.040588,0.105559,47.573373,0.119018
2,21.613127,0.450640,92.575592,1.882056
4,10.893429,0.173954,183.643007,2.886676
6,7.414432,0.119073,269.813332,4.304802
8,5.528440,0.085977,361.852943,5.608399
10,4.475636,0.062719,446.951707,6.270693
12,3.735474,0.059241,535.540943,8.427274
14,3.332679,0.063379,600.332351,11.285705
16,2.879530,0.054765,694.805966,13.051138
18,2.715298,0.096103,737.450392,24.951463
20,2.338589,0.095439,856.565614,33.065628
22,2.199892,0.157119,913.356291,59.109231
24,2.062543,0.238762,980.951653,97.461130
26,1.942320,0.313782,1051.992125,138.189745
28,1.935890,0.346082,1059.988793,150.467168
30,1.906957,0.354062,1078.050823,157.769686
32,1.777922,0.419175,1173.552295,206.725961
34,1.713997,0.439984,1225.843874,230.352642
36,1.721428,0.486976,1231.436856,246.466003
38,1.666285,0.469942,1272.135991,255.486374
40,1.618975,0.518789,1329.433370,295.249529
42,1.647306,0.519094,1303.459021,284.854979
44,1.596702,0.532598,1355.444362,310.404659
46,1.593609,0.571812,1373.207437,332.157942
48,1.548048,0.551365,1412.724289,342.452565
50,1.535515,0.583921,1438.982356,362.327178
52,1.540236,0.614411,1446.930716,375.875778
54,1.638057,0.556863,1324.978596,308.200970
56,1.588020,0.581166,1381.238061,334.976879
58,1.611672,0.554421,1348.450677,314.514630
60,1.583703,0.627440,1405.574375,363.924861
62,1.406788,0.425946,1517.497219,316.618191
64,1.575319,0.613188,1409.849925,364.789613
66,1.537048,0.635696,1461.777732,393.454503
68,1.589955,0.616586,1399.192150,370.239730
70,1.693167,0.599693,1294.078391,323.368983
72,1.658919,0.676616,1347.539151,350.654280
74,1.648893,0.606906,1334.031851,332.836385
76,1.647660,0.604840,1333.285875,328.440400
78,1.619003,0.651958,1377.949470,357.183429
80,1.690700,0.724619,1332.091343,348.234833
82,1.665815,0.588745,1313.345196,323.010084
84,1.657077,0.623865,1332.100480,336.298973
86,1.650504,0.636785,1342.051697,340.958396
88,1.639430,0.633422,1354.510605,353.266669
90,1.664039,0.689278,1350.222890,362.706880
92,1.638958,0.646931,1359.936779,358.865663
94,1.648983,0.762482,1390.374069,385.946328
96,1.717947,0.664281,1290.109059,328.962886
98,1.714903,0.737020,1317.052928,353.664178
100,1.726523,0.646611,1285.006012,344.496262
102,1.665124,0.636085,1333.061256,351.148408
104,1.675309,0.722125,1349.001209,362.898589
106,1.714796,0.757410,1322.111050,353.426799
108,1.738700,0.765302,1305.973525,356.860018
110,1.705496,0.777581,1340.045331,369.095106
112,1.681146,0.703638,1340.354865,365.321639
114,1.646180,0.682032,1370.249574,382.067896
116,1.659097,0.772171,1386.970546,394.271413
118,1.673592,0.678019,1338.523218,359.520956
120,1.672815,0.743192,1364.120585,385.184100
122,1.654761,0.726607,1374.300528,382.455346
124,1.674823,0.792761,1380.738262,399.423351
126,1.663716,0.728054,1366.364961,380.657787
128,1.701580,0.681073,1321.088800,374.551665
