#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,20.738687,0.060834,96.438949,0.281693
2,10.765756,0.197538,185.835770,3.354032
4,5.516897,0.090032,362.618468,5.872487
6,3.683407,0.065309,543.145827,9.607230
8,2.711011,0.040300,737.895352,10.972597
10,2.190650,0.038413,913.247472,15.770615
12,1.887659,0.031967,1059.814207,17.765298
14,1.643406,0.064260,1218.768720,45.642166
16,1.422289,0.045542,1407.589303,43.901564
18,1.317372,0.086462,1524.230685,92.335076
20,1.268175,0.159210,1598.646116,172.160301
22,1.199235,0.197570,1705.126931,227.251812
24,1.144863,0.248955,1812.626045,302.953099
26,1.111189,0.303602,1903.348968,380.832469
28,1.139882,0.338315,1870.295331,391.439649
30,1.149072,0.339955,1854.972066,388.526068
32,0.911270,0.278394,2357.015163,537.920880
34,0.889609,0.287040,2418.252481,527.552795
36,0.942614,0.309114,2298.249163,545.247414
38,0.860594,0.312167,2540.598781,597.347916
40,0.882016,0.322049,2507.091413,668.631941
42,0.898970,0.318626,2444.521463,631.030319
44,0.864331,0.326772,2574.544583,703.433816
46,0.853156,0.349342,2659.857972,789.566564
48,0.883961,0.399904,2622.038459,818.623377
50,0.785051,0.365273,2920.785956,802.957663
52,0.838840,0.399661,2799.379690,897.393205
54,0.867669,0.424710,2709.218307,847.351677
56,0.814329,0.395383,2845.672944,804.390356
58,0.832593,0.367514,2773.940441,865.439814
60,0.858000,0.401923,2743.623063,907.744084
62,0.769464,0.403976,3074.081658,905.577012
64,0.813745,0.382890,2897.775282,964.174868
66,0.762850,0.376194,3051.471950,875.263032
68,0.880887,0.408515,2667.233234,881.592787
70,0.821340,0.358281,2761.583049,757.776730
72,0.870371,0.409646,2697.076840,874.290053
74,0.925150,0.472706,2548.706349,770.100108
76,0.935562,0.454073,2497.060010,760.432311
78,0.986735,0.488690,2473.120194,930.563672
80,0.951071,0.422424,2420.916692,739.111282
82,0.849493,0.430019,2760.289267,806.646421
84,0.913623,0.387857,2510.118077,787.403969
86,0.939123,0.572691,2658.243493,883.221626
88,0.900027,0.418570,2631.755509,907.929487
90,0.986342,0.433706,2386.862739,838.299772
92,0.895519,0.415483,2647.404272,923.535960
94,0.920841,0.426223,2557.749991,860.142909
96,0.932616,0.417477,2486.835876,787.290630
98,0.873518,0.447348,2707.677388,835.662601
100,0.928891,0.393688,2506.043064,849.200638
102,0.972924,0.406773,2363.675806,778.932188
104,0.986079,0.411419,2366.827954,868.317134
106,0.892373,0.456126,2662.950010,847.905695
108,0.935329,0.414838,2526.253331,899.075295
110,0.977984,0.402190,2365.245884,824.861252
112,0.976959,0.447368,2467.603242,928.759165
114,0.957107,0.377708,2353.148606,685.283990
116,1.004597,0.382343,2256.486022,715.823042
118,1.034692,0.447274,2338.676172,960.361421
120,0.910693,0.412273,2620.357769,986.431431
122,0.994384,0.420232,2373.374916,868.917694
124,1.058408,0.498578,2386.630124,1085.767281
126,0.995105,0.414907,2351.070082,849.540438
128,1.012091,0.357697,2226.778994,764.684632
