matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.016353,0.002361,1000.691471,154.859805
3000,0.041723,0.001238,1295.329259,36.825565
4000,0.101912,0.002187,1256.546952,26.141126
5000,0.192224,0.001154,1300.614905,7.742385
6000,0.337036,0.017849,1285.180446,64.581678
7000,0.542287,0.008308,1265.310153,19.421537
8000,0.786790,0.043279,1305.374108,70.621168
9000,1.106415,0.034559,1319.113218,43.025309
10000,1.533567,0.041291,1305.092469,35.051609
11000,2.003941,0.070163,1330.004805,46.361667
12000,2.599533,0.066516,1330.336572,33.884732
13000,3.315237,0.097732,1326.555648,39.364341
14000,4.077727,0.108524,1346.811539,36.215184
15000,5.057923,0.151296,1335.756442,40.678887
16000,6.197853,0.156688,1322.590354,33.330004
17000,7.238266,0.185674,1358.392884,34.520859
18000,8.630428,0.284487,1352.913933,42.987411
19000,10.216242,0.358877,1344.372136,45.805741
20000,11.819304,0.270606,1354.423339,30.823118
