matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.035343,0.020944,557.332845,177.750305
3000,0.075718,0.002071,713.686720,18.752912
4000,0.162800,0.002151,786.373273,10.189704
5000,0.325882,0.015704,768.818910,34.675232
6000,0.546599,0.006184,790.443143,8.926966
7000,0.880027,0.011101,779.646287,9.874632
8000,1.292275,0.007431,792.427341,4.548574
9000,1.827991,0.009386,797.617841,4.100403
10000,2.503187,0.010715,798.995968,3.405112
11000,3.328414,0.031003,799.849522,7.420799
12000,4.307488,0.040966,802.395575,7.550069
13000,5.463946,0.041332,804.226482,6.058943
14000,6.801418,0.015827,806.894896,1.876486
15000,8.369926,0.034114,806.472197,3.298394
16000,10.148125,0.078979,807.291415,6.262019
17000,12.189603,0.080811,806.132060,5.318527
18000,14.415462,0.089286,809.162190,5.007087
19000,16.992691,0.126159,807.332532,5.962475
20000,19.847402,0.109284,806.175353,4.453593
