matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.027704,0.006235,600.270129,101.050301
3000,0.077165,0.000782,699.873207,6.987585
4000,0.168590,0.000899,759.259265,4.017027
5000,0.339336,0.020348,739.173285,40.712052
6000,0.574133,0.019003,753.256642,24.705006
7000,0.920190,0.019097,745.823833,15.695820
8000,1.344908,0.009463,761.427905,5.302488
9000,1.906045,0.028430,765.106141,11.501561
10000,2.581101,0.031068,774.975609,9.347795
11000,3.454349,0.040267,770.727951,9.033015
12000,4.513499,0.036693,765.753889,6.256632
13000,5.658333,0.047863,776.608944,6.513850
14000,7.131794,0.030703,769.526167,3.320014
15000,8.687188,0.041277,777.023967,3.708530
16000,10.474410,0.172755,782.309985,12.941324
17000,12.631703,0.171905,778.028368,10.607702
18000,14.768655,0.147243,789.859791,7.924700
19000,17.627062,0.253557,778.395844,11.169316
20000,20.346436,0.234936,786.483286,9.074927
