matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.020893,0.012668,952.060860,311.200898
3000,0.039893,0.001161,1354.731467,37.818396
4000,0.086770,0.000815,1475.294362,13.670398
5000,0.166588,0.000699,1500.733964,6.257421
6000,0.295238,0.016194,1467.323067,74.665228
7000,0.467138,0.025386,1472.637983,75.891528
8000,0.661334,0.019241,1549.685539,44.715300
9000,0.946059,0.022021,1541.970833,36.150655
10000,1.302284,0.013047,1535.917333,15.411938
11000,1.705728,0.021397,1560.870680,19.636656
12000,2.197761,0.013678,1572.570251,9.776080
13000,2.793064,0.030748,1573.371727,17.190448
14000,3.479073,0.042726,1577.673653,19.707918
15000,4.247115,0.026600,1589.376214,9.914044
16000,5.156398,0.039375,1588.798102,12.082699
17000,6.192248,0.073574,1587.046308,18.820739
18000,7.334178,0.088547,1590.594320,19.226607
19000,8.598922,0.126409,1595.655992,23.107294
20000,10.064431,0.067445,1589.828722,10.694726
