matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.021761,0.000905,736.459016,28.831348
3000,0.071626,0.000783,754.003240,8.108310
4000,0.160599,0.001028,797.050058,5.053414
5000,0.326244,0.006446,766.589167,14.731637
6000,0.543041,0.004341,795.570402,6.336716
7000,0.873777,0.004799,785.120741,4.309132
8000,1.279165,0.002299,800.524973,1.440654
9000,1.806277,0.004272,807.189563,1.904560
10000,2.485968,0.010082,804.528951,3.263049
11000,3.336841,0.020272,797.790011,4.836082
12000,4.362505,0.036622,792.261572,6.682217
13000,5.498025,0.045810,799.251301,6.627369
14000,6.918781,0.037871,793.226949,4.328503
15000,8.497673,0.030188,794.345146,2.817171
16000,10.242275,0.025744,799.827329,2.007923
17000,12.322962,0.060839,797.392632,3.931116
18000,14.540174,0.080496,802.215790,4.434922
19000,17.145879,0.085697,800.095533,3.981699
20000,20.053087,0.055870,797.888335,2.220949
