matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.012149,0.001396,1331.947325,130.524911
3000,0.036395,0.000740,1484.296101,29.280702
4000,0.080596,0.000977,1588.391969,18.905845
5000,0.160889,0.001152,1553.948720,11.010473
6000,0.279718,0.007391,1545.455332,39.368824
7000,0.431899,0.005613,1588.600606,20.438456
8000,0.632605,0.005574,1618.829665,14.262567
9000,0.896787,0.004731,1625.849692,8.629935
10000,1.260896,0.008811,1586.250666,11.081202
11000,1.662813,0.005956,1600.922548,5.714655
12000,2.126323,0.005943,1625.353688,4.532443
13000,2.707959,0.012387,1622.657762,7.378780
14000,3.377950,0.016138,1624.690891,7.762997
15000,4.163818,0.019334,1621.143124,7.514276
16000,5.046542,0.012387,1623.299613,3.979062
17000,6.113677,0.031650,1607.259127,8.323858
18000,7.199700,0.026034,1620.088753,5.853641
19000,8.371632,0.004766,1638.629638,0.932376
20000,9.916718,0.034830,1613.456825,5.657245
