#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,16.070382,0.006918,124.452571,0.053561
1,15.857010,0.068240,126.129507,0.539840
2,8.911950,0.263232,224.607264,6.416864
3,5.703775,0.179972,350.986892,10.841950
4,4.433896,0.138186,451.500042,13.784409
5,3.484535,0.092706,574.370404,15.252046
6,3.184259,0.113154,628.856685,21.593453
7,2.500090,0.085617,800.891290,26.879882
8,2.276574,0.063841,879.197798,24.430041
9,2.085191,0.077904,960.440116,34.685478
10,1.862799,0.080948,1075.700745,47.154536
11,1.644889,0.032354,1216.353905,23.712725
12,1.532703,0.039825,1305.766547,33.981822
13,1.539322,0.042113,1300.250467,35.719548
14,1.378845,0.072484,1454.422719,74.863312
15,1.230578,0.050182,1627.937820,65.889382
16,1.216275,0.022077,1644.899540,29.461242
17,1.218249,0.025972,1642.433153,34.363378
18,1.162306,0.028493,1721.720127,40.882827
19,1.166172,0.032145,1716.280483,45.986657
20,1.000683,0.022478,1999.632948,44.460912
21,0.880928,0.013146,2270.842768,34.185528
22,0.897669,0.020749,2229.180975,51.435450
23,0.898036,0.032445,2229.977283,80.118629
24,0.923371,0.042515,2170.327741,94.525664
