#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,30.621360,0.024602,65.313929,0.052421
1,30.438277,0.072197,65.707111,0.155299
2,15.953030,0.114991,125.374538,0.902075
3,10.101237,0.123316,198.025038,2.415460
4,7.606002,0.118751,263.014124,4.091947
5,6.037755,0.064789,331.286615,3.510054
6,5.044908,0.067079,396.508267,5.183551
7,4.296187,0.056025,465.606789,5.957819
8,3.772357,0.046520,530.252962,6.526229
9,3.350156,0.045794,597.098735,8.163359
10,3.027294,0.033570,660.736907,7.289268
11,2.747960,0.031289,727.906694,8.260811
12,2.521879,0.020254,793.110558,6.357512
13,2.321721,0.016232,861.472032,6.014043
14,2.163540,0.012389,924.440986,5.258817
15,2.017400,0.018131,991.454367,8.849920
16,1.893036,0.021282,1056.636795,11.794969
17,1.789130,0.024178,1118.065477,15.066513
18,1.690350,0.008807,1183.219232,6.178755
19,1.602207,0.011299,1248.339765,8.768451
20,1.530364,0.010205,1306.937173,8.738891
21,1.449145,0.010061,1380.190624,9.532562
22,1.384871,0.006551,1444.209959,6.803615
23,1.333420,0.011087,1500.006039,12.481395
24,1.281326,0.015463,1561.108429,18.665726
