#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,14.690408,0.015327,136.143404,0.141845
1,14.568845,0.038058,137.280172,0.357275
2,7.779116,0.281400,257.419614,8.874772
3,5.143676,0.137419,389.100289,10.231097
4,3.839747,0.114798,521.330828,15.497891
5,3.069583,0.078039,651.970933,16.389991
6,2.550494,0.045529,784.413331,14.096697
7,2.218542,0.026584,901.621613,10.728284
8,1.911399,0.031228,1046.634331,17.168086
9,1.713879,0.024187,1167.174562,16.393934
10,1.538031,0.014212,1300.474097,11.949347
11,1.394357,0.019773,1434.640964,20.305795
12,1.298629,0.004627,1540.105709,5.510398
13,1.183715,0.008613,1689.685574,12.344564
14,1.106243,0.008826,1808.035352,14.409885
15,1.035450,0.023622,1932.526586,43.814193
16,0.991265,0.019915,2018.433110,40.289964
17,0.928366,0.019862,2155.304850,45.876462
18,0.881955,0.017906,2268.626514,46.098710
19,0.823533,0.014485,2429.315701,42.991405
20,0.802885,0.014420,2491.816659,44.518792
21,0.755275,0.011692,2648.676137,41.017150
22,0.745328,0.012248,2684.110093,44.306524
23,0.708070,0.013332,2825.576662,52.922845
24,0.681366,0.018110,2937.315975,76.694273
