#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,30.871960,0.007564,64.783711,0.015873
1,30.865992,0.007550,64.796237,0.015849
2,15.763832,0.190186,126.891439,1.552661
3,10.488970,0.088918,190.690210,1.619322
4,7.959515,0.072320,251.292295,2.278566
5,6.480510,0.230347,308.999696,10.751486
6,5.340630,0.083619,374.579169,5.845090
7,4.615122,0.113597,433.618667,10.591486
8,4.201488,0.128895,476.467062,14.515364
9,3.907619,0.105709,512.203144,14.140460
10,3.371594,0.046578,593.303785,8.141993
11,3.008740,0.013853,664.744113,3.070235
12,2.718771,0.017233,735.656077,4.648016
13,2.715501,0.015733,736.536917,4.263531
14,2.466118,0.042391,811.227805,13.761510
15,2.232757,0.038529,896.014232,15.115483
16,2.226457,0.055815,898.854091,22.570940
17,2.236149,0.055009,894.936270,22.018558
18,2.020632,0.048632,990.354244,23.482658
19,2.010264,0.039985,995.287351,19.768516
20,1.849828,0.026516,1081.401652,15.346720
21,1.695763,0.021566,1179.598657,14.801048
22,1.697805,0.069549,1179.866658,45.788163
23,1.696053,0.062861,1180.761522,41.915378
24,1.654662,0.028007,1209.048719,20.232243
