#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,30.928645,0.008089,64.664978,0.016918
1,30.529283,0.008717,65.510879,0.018704
2,15.145099,0.111839,132.063118,0.975037
3,9.957448,0.041936,200.858261,0.848928
4,7.442295,0.033036,268.739594,1.190775
5,6.028968,0.083201,331.794067,4.515598
6,4.926969,0.033261,405.947614,2.740291
7,4.272037,0.043422,468.208419,4.688482
8,3.773130,0.049497,530.154824,6.931045
9,3.334373,0.032902,599.871040,5.897184
10,2.987662,0.018115,669.444524,4.065330
11,2.704263,0.017452,739.603680,4.760373
12,2.462987,0.017523,812.062798,5.731650
13,2.293714,0.008722,871.960872,3.313324
14,2.131396,0.009891,938.372351,4.328327
15,1.994434,0.013469,1002.836123,6.734974
16,1.883541,0.013881,1061.887878,7.849541
17,1.775968,0.016346,1126.241047,10.310995
18,1.677268,0.011279,1192.469341,7.998588
19,1.598714,0.009673,1251.051184,7.553828
20,1.523803,0.010772,1312.570929,9.280679
21,1.449794,0.012186,1379.603668,11.552203
22,1.384013,0.004593,1445.089338,4.817268
23,1.332019,0.011479,1501.591298,12.882321
24,1.280928,0.010881,1561.480075,13.250389
