#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,29.445766,0.010726,67.921489,0.024737
1,29.437533,0.008278,67.940481,0.019104
2,15.096196,0.076560,132.487108,0.670091
3,9.990722,0.087067,200.200878,1.738405
4,7.529602,0.068763,265.640365,2.416321
5,6.228108,0.103805,321.215206,5.424884
6,5.027703,0.014027,397.799102,1.109823
7,4.382173,0.081268,456.551006,8.434614
8,3.896278,0.053483,513.406127,6.977758
9,3.426625,0.023109,583.691042,3.920805
10,3.072665,0.031056,650.967177,6.569746
11,2.771312,0.038717,721.818043,9.889847
12,2.518129,0.011373,794.256637,3.594535
13,2.383910,0.021941,839.028207,7.644584
14,2.188256,0.019932,914.045519,8.320156
15,2.042847,0.018847,979.109246,9.047207
16,1.938361,0.013816,1031.851639,7.324540
17,1.885757,0.025089,1060.770924,14.216890
18,1.728841,0.017350,1156.962508,11.758752
19,1.624381,0.012727,1231.313880,9.696236
20,1.571577,0.017140,1272.757119,13.754346
21,1.492022,0.011922,1340.548235,10.738504
22,1.452053,0.015890,1377.524784,15.027921
23,1.416928,0.011510,1411.597296,11.485410
24,1.398527,0.036926,1431.070943,37.693356
