#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,14.853449,0.015336,134.649009,0.138881
1,14.741940,0.035940,135.668154,0.329632
2,7.622681,0.068122,262.395759,2.335053
3,5.072682,0.043721,394.298005,3.398479
4,3.772822,0.054041,530.216534,7.631566
5,3.061092,0.084350,653.852012,17.801734
6,2.508398,0.025747,797.405875,8.201200
7,2.176949,0.032596,918.923673,13.807131
8,1.913167,0.036523,1045.771394,20.129696
9,1.709217,0.024762,1170.372168,16.949281
10,1.539718,0.016532,1299.088390,13.895421
11,1.376744,0.017863,1452.947962,18.895710
12,1.266858,0.005228,1578.735825,6.497950
13,1.176887,0.007107,1699.460829,10.244665
14,1.083578,0.005990,1845.792352,10.136167
15,1.018813,0.014309,1963.451213,27.243991
16,0.967342,0.007536,2067.646438,16.202820
17,0.914661,0.010969,2186.920550,26.442057
18,0.876831,0.009408,2281.205482,24.593792
19,0.818279,0.016040,2445.084130,47.525300
20,0.786146,0.008216,2544.334980,26.586729
21,0.752943,0.016449,2657.509815,58.015379
22,0.745854,0.010188,2681.992710,36.804122
23,0.705695,0.010500,2834.710517,41.963316
24,0.686538,0.022559,2916.204522,92.393828
